review,rating,date,bank,source,sentiment_label,sentiment_score,clean_review,theme
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,POSITIVE,0.9948286414146424,ronaldo,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,POSITIVE,0.9998852014541626,this app is absolutely fantastic i love it and i enjoying to it let us support this foundation together,Customer Support
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,NEGATIVE,0.9997394680976868,the cbe app has been highly unreliable in recent weeks it frequently fails to work properly on both ethio telecom and safaricom networks whether using wifi or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the app only functions intermittently and the lack of consistency is frustrating i hope the issues are addressed soon and that any nontechnical influences are removed from such essential services,"Account Access Issues, Feature Requests & Suggestions, Connectivity Issues"
mortuary app,5,2025-05-25,CBE,Google Play,NEGATIVE,0.7924920320510864,mortuary app,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,NEGATIVE,0.9961044788360596,it is smart app but it has stoped after some period of time on my device with out any reason,Other
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,POSITIVE,0.9991408586502076,amazing app i am used this app for one year,Other
👍,5,2025-05-24,CBE,Google Play,NEGATIVE,0.6970566511154175,,Other
good app,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998493194580078,good app,Other
i love it 😍😘,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998791217803956,i love it,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,POSITIVE,0.9993600249290466,it makes life easy,Other
its not fast,1,2025-05-24,CBE,Google Play,NEGATIVE,0.9949808716773988,its not fast,Other
wow,4,2025-05-24,CBE,Google Play,POSITIVE,0.999592125415802,wow,Other
it is sooo good,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998735189437866,it is sooo good,Other
excellent,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998434782028198,excellent,Other
ok,1,2025-05-23,CBE,Google Play,POSITIVE,0.9997851252555848,ok,Other
Fantastic,5,2025-05-23,CBE,Google Play,POSITIVE,0.9998743534088136,fantastic,Other
accessible to using,5,2025-05-23,CBE,Google Play,POSITIVE,0.999116837978363,accessible to using,Account Access Issues
I like it,4,2025-05-23,CBE,Google Play,POSITIVE,0.99985933303833,i like it,Other
why you change default network?,5,2025-05-23,CBE,Google Play,NEGATIVE,0.9962357878684998,why you change default network,"Performance Issues, Connectivity Issues"
very nice 👍,5,2025-05-23,CBE,Google Play,POSITIVE,0.999857783317566,very nice,Other
nice fast app,5,2025-05-23,CBE,Google Play,POSITIVE,0.999833345413208,nice fast app,Other
how to I get my money,5,2025-05-22,CBE,Google Play,NEGATIVE,0.9934091567993164,how to i get my money,Financial Transactions
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,NEGATIVE,0.999816596508026,very bad cant even load they need to improve their services,Feature Requests & Suggestions
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,POSITIVE,0.964985489845276,very good app but please make it reliable it crashes sometimes,Performance Issues
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,NEGATIVE,0.9991938471794128,very busy i dont know why i prefer,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,NEGATIVE,0.9966771602630616,sometimes it has a nasty lag for several hour fix that the rest is,Performance Issues
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,NEGATIVE,0.9986202716827391,the most boring mobil banking application in ethiopiaplease use alternative private banks mobile banking apps,Other
hojii bonsaadha,5,2025-05-22,CBE,Google Play,POSITIVE,0.9568662047386168,hojii bonsaadha,Other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,POSITIVE,0.955450713634491,userfriendly appsbecause this app is easy,User Interface & Experience
Awosome!!!,5,2025-05-22,CBE,Google Play,POSITIVE,0.6944891810417175,awosome,Other
"Very good app,",5,2025-05-22,CBE,Google Play,POSITIVE,0.9998691082000732,very good app,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,NEGATIVE,0.992516815662384,sync problem may but the date stack on may help pls,Customer Support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,POSITIVE,0.9997020363807678,this app is very nice,Other
I hate this app 😒,1,2025-05-22,CBE,Google Play,NEGATIVE,0.9996378421783448,i hate this app,Other
trustful,5,2025-05-22,CBE,Google Play,POSITIVE,0.9998213648796082,trustful,Other
I like,5,2025-05-21,CBE,Google Play,POSITIVE,0.9998149275779724,i like,Other
update issue,4,2025-05-21,CBE,Google Play,POSITIVE,0.5473247170448303,update issue,Feature Requests & Suggestions
its not working over safari network,1,2025-05-21,CBE,Google Play,NEGATIVE,0.9991377592086792,its not working over safari network,Connectivity Issues
oldie,1,2025-05-21,CBE,Google Play,NEGATIVE,0.6663163304328918,oldie,Other
it doesn't work,1,2025-05-21,CBE,Google Play,NEGATIVE,0.9997813105583192,it doesnt work,Other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,POSITIVE,0.999855637550354,this app is good and we are using it well,Other
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,POSITIVE,0.9994401335716248,very nice app for android phone,Other
Yes Yes,5,2025-05-21,CBE,Google Play,POSITIVE,0.9997482895851136,yes yes,Other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,NEGATIVE,0.7850591540336609,,Other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,POSITIVE,0.9981144666671752,easy to use helpful in my life,Customer Support
good 👍,4,2025-05-21,CBE,Google Play,POSITIVE,0.9998576641082764,good,Other
the best mobile banking app,5,2025-05-21,CBE,Google Play,POSITIVE,0.9998278617858888,the best mobile banking app,Other
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,POSITIVE,0.9992597699165344,this app is very useful appit saves timeand it is secure,Security & Privacy Concerns
it's a good application 👍,5,2025-05-21,CBE,Google Play,POSITIVE,0.9998123049736024,its a good application,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,NEGATIVE,0.9997513890266418,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity,"Performance Issues, Feature Requests & Suggestions, Financial Transactions"
poor service,1,2025-05-20,CBE,Google Play,NEGATIVE,0.999653458595276,poor service,Other
amazing,5,2025-05-20,CBE,Google Play,POSITIVE,0.999875545501709,amazing,Other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,POSITIVE,0.9998389482498168,it is reliable and easy to use,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,NEGATIVE,0.9994208812713624,the most annoying mobile banking app ive ever seen,Other
Cbe mobile banking,5,2025-05-20,CBE,Google Play,POSITIVE,0.8304283022880554,cbe mobile banking,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,NEGATIVE,0.9966920614242554,i cant make screenshout in this app please made modification,Other
Best app I loved it,5,2025-05-18,CBE,Google Play,POSITIVE,0.999849796295166,best app i loved it,Other
nice app,5,2025-05-18,CBE,Google Play,POSITIVE,0.9998061060905457,nice app,Other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,NEGATIVE,0.6448792219161987,amazing applicatiom sometimes doesnt work,Other
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,POSITIVE,0.999858856201172,well satisfied with this beautiful app,Other
very good,4,2025-05-17,CBE,Google Play,POSITIVE,0.9998520612716676,very good,Other
best app.,5,2025-05-17,CBE,Google Play,POSITIVE,0.999774158000946,best app,Other
"not working,why???",5,2025-05-17,CBE,Google Play,NEGATIVE,0.9995881915092468,not workingwhy,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,NEGATIVE,0.9841780066490172,great impact but why developer option turnoff if you fix,Feature Requests & Suggestions
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,NEGATIVE,0.9996201992034912,always disappointing especially the ios one some similar local applications are extremely superior to this application really disappointing,Other
woxe harimo ribiso,5,2025-05-16,CBE,Google Play,NEGATIVE,0.9374372959136964,woxe harimo ribiso,Other
"Good ,easy to use",5,2025-05-16,CBE,Google Play,POSITIVE,0.9998592138290404,good easy to use,Other
Good app,5,2025-05-15,CBE,Google Play,POSITIVE,0.9998493194580078,good app,Other
Good job👍,5,2025-05-14,CBE,Google Play,POSITIVE,0.9998576641082764,good job,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,POSITIVE,0.9939066767692566,please kindly ask to update the app and allow us to screenshot its convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,"Account Access Issues, Feature Requests & Suggestions, Security & Privacy Concerns"
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,NEGATIVE,0.9474119544029236,i have using the cbe mobile banking app and overall i appreciate its feuteres however ive notticed that when i turn on the developer options on my divice the appstop functioning prorerly itwould be great if you could look into this issue as l often need to access developer setting for otter application thankyou for your attention to this matter,"Account Access Issues, Feature Requests & Suggestions"
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,NEGATIVE,0.9996613264083862,customer service is bad nothing is good about this bank,Customer Support
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,NEGATIVE,0.992915153503418,it is amazing mobile banking appbut why the screenshot of the receipt doesnt work,Other
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,POSITIVE,0.998494267463684,fast and simple easy to use,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,POSITIVE,0.9844427704811096,the fastest transferring app i ever had its so reliable,Financial Transactions
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,NEGATIVE,0.9986681938171388,funds transferred from the same bank do not reflect in the account even though a confirmation text message was received,Financial Transactions
it's easy and fast,5,2025-05-10,CBE,Google Play,POSITIVE,0.9995684027671814,its easy and fast,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,NEGATIVE,0.9960438013076782,this app dont have self activation only you have to look near cbe branch thats disgusting,Other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,POSITIVE,0.999572217464447,hello dearest cbe office personnel make some benefits for those using interest free accounts thanks for your help,Customer Support
wow best application ever,5,2025-05-09,CBE,Google Play,POSITIVE,0.9997984766960144,wow best application ever,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,NEGATIVE,0.9997019171714784,am sorry but what does developer mode do to the application hack it are you sure you are developer or are you stupid doesnt makes sense,Security & Privacy Concerns
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,POSITIVE,0.999118983745575,the pride of ethiopian bank,Other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,NEGATIVE,0.9990994930267334,why the app telling me to turn of developer options please fix it,Feature Requests & Suggestions
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,POSITIVE,0.9976927042007446,i am very happy i have small prob after i transfer i cant put the transfer cashe bil to my dic,Financial Transactions
amazing apps,5,2025-05-06,CBE,Google Play,POSITIVE,0.9998716115951538,amazing apps,Other
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,POSITIVE,0.8924252986907959,all service of mobile banking,Other
needs improvement,1,2025-05-06,CBE,Google Play,NEGATIVE,0.9966731071472168,needs improvement,Feature Requests & Suggestions
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,NEGATIVE,0.995843231678009,i miss the old one i couldnt send my mony to other bank,Financial Transactions
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,NEGATIVE,0.9984410405158995,the app is recently crushing each time you open and try to make transfersit used to be good take lessons from the dashen super app or ethiotelecom it is not befitting of your experience and glory invst in making it more friendly and convenient i am considering leaving cbe for good,"User Interface & Experience, Financial Transactions"
good but these week not oky,4,2025-05-06,CBE,Google Play,NEGATIVE,0.9554156064987184,good but these week not oky,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,POSITIVE,0.99980491399765,well designed fixing bugs two step verification with biometric simply its great,"Account Access Issues, User Interface & Experience"
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,NEGATIVE,0.9975224137306212,if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,POSITIVE,0.8991116285324097,its a great jobbut one more thing it hasnt been placed for transfer to other banks on face like mobile charge card place,Financial Transactions
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,POSITIVE,0.8703052997589111,cbe mobilr bankg,Other
verygood,3,2025-05-05,CBE,Google Play,POSITIVE,0.9988996982574464,verygood,Other
ممتاز جدا,5,2025-05-04,CBE,Google Play,NEGATIVE,0.8031745553016663,,Other
it's very low quality application,1,2025-05-04,CBE,Google Play,NEGATIVE,0.9996594190597534,its very low quality application,Other
Very Amazing Apps,5,2025-05-04,CBE,Google Play,POSITIVE,0.9998774528503418,very amazing apps,Other
አዛ,1,2025-05-04,CBE,Google Play,NEGATIVE,0.6970566511154175,,Other
wow simple life,5,2025-05-04,CBE,Google Play,POSITIVE,0.9997076392173768,wow simple life,Other
it's nice,5,2025-05-03,CBE,Google Play,POSITIVE,0.9998672008514404,its nice,Other
Why stacked sometimes,5,2025-05-03,CBE,Google Play,NEGATIVE,0.9941052198410034,why stacked sometimes,Other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,NEGATIVE,0.8515537977218628,okay but sometimes busy,Other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,NEGATIVE,0.9997990727424622,the worst commercial company that fails to do even the most normal things again and and again,Other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,NEGATIVE,0.998118817806244,very good app but disappointed by general cessation of system,Other
Good and fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.9998561143875122,good and fast,Other
Unreliable!,1,2025-05-02,CBE,Google Play,NEGATIVE,0.9997379183769226,unreliable,Other
Best the best fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.9998427629470824,best the best fast,Other
happy,5,2025-05-02,CBE,Google Play,POSITIVE,0.99987530708313,happy,Other
fast and reliable,5,2025-05-02,CBE,Google Play,POSITIVE,0.9998595714569092,fast and reliable,Other
network errorrrrrr,2,2025-05-02,CBE,Google Play,NEGATIVE,0.9978076815605164,network errorrrrrr,Connectivity Issues
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,NEGATIVE,0.9982808828353882,best app but there is some problem i cant send money to telebirr or mpesa so if you can add that it could be use full,"Feature Requests & Suggestions, Financial Transactions"
its good and simple to use,5,2025-05-02,CBE,Google Play,POSITIVE,0.9998610019683838,its good and simple to use,Other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,NEGATIVE,0.9927296042442322,worest app like that bank for security and network access,"Account Access Issues, Connectivity Issues, Security & Privacy Concerns"
it's the best app i,5,2025-05-02,CBE,Google Play,POSITIVE,0.999834418296814,its the best app i,Other
not bad not good,1,2025-05-02,CBE,Google Play,NEGATIVE,0.9715350866317748,not bad not good,Other
its very nice,5,2025-05-02,CBE,Google Play,POSITIVE,0.9998526573181152,its very nice,Other
do not work this week,3,2025-04-30,CBE,Google Play,NEGATIVE,0.99776029586792,do not work this week,Other
It crashes frequently,4,2025-04-30,CBE,Google Play,NEGATIVE,0.9993256330490112,it crashes frequently,Performance Issues
the best,5,2025-04-28,CBE,Google Play,POSITIVE,0.9998332262039183,the best,Other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,POSITIVE,0.8382592797279358,i can simply describe this app as making all your work easier,Other
goid,5,2025-04-28,CBE,Google Play,NEGATIVE,0.7086985111236572,goid,Other
best appearance,5,2025-04-27,CBE,Google Play,POSITIVE,0.9996986389160156,best appearance,Other
it's very good 👍 app,5,2025-04-27,CBE,Google Play,POSITIVE,0.999859094619751,its very good app,Other
I need support you,5,2025-04-26,CBE,Google Play,NEGATIVE,0.9881443977355956,i need support you,Customer Support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,NEGATIVE,0.9997807145118712,the worst mobile banking i have ever seen in my life,Other
super,5,2025-04-26,CBE,Google Play,POSITIVE,0.998783528804779,super,Other
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,NEGATIVE,0.8337253928184509,,Other
i like the app,5,2025-04-26,CBE,Google Play,POSITIVE,0.9994398951530457,i like the app,Other
the Best,1,2025-04-26,CBE,Google Play,POSITIVE,0.9998332262039183,the best,Other
to other bank is bad,1,2025-04-25,CBE,Google Play,NEGATIVE,0.9997149109840392,to other bank is bad,Other
tank's,5,2025-04-25,CBE,Google Play,NEGATIVE,0.9855977892875672,tanks,Other
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,POSITIVE,0.9881664514541626,its good but add more features such like bank statement showing,"Feature Requests & Suggestions, Financial Transactions"
it is so nice,5,2025-04-24,CBE,Google Play,POSITIVE,0.9998714923858644,it is so nice,Other
Very Good👍,5,2025-04-21,CBE,Google Play,POSITIVE,0.8243634104728699,very good,Other
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,NEGATIVE,0.9995972514152528,my first frequent experience of cbe app is criticaltime failure such as suspending payment on air for days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as a whole not the app itself though is forcedbanking with corporations without consent of employersusers of the corresponding corporations,"Customer Support, Financial Transactions"
"wow, amazing app",5,2025-04-21,CBE,Google Play,POSITIVE,0.9998503923416138,wow amazing app,Other
use ful,5,2025-04-21,CBE,Google Play,NEGATIVE,0.9949980974197388,use ful,Other
Great app,5,2025-04-21,CBE,Google Play,POSITIVE,0.999821126461029,great app,Other
well app,5,2025-04-20,CBE,Google Play,POSITIVE,0.9993765950202942,well app,Other
Actually it is inactive,4,2025-04-19,CBE,Google Play,NEGATIVE,0.9996483325958252,actually it is inactive,Other
"slow, only one account is used",2,2025-04-19,CBE,Google Play,NEGATIVE,0.9997527003288268,slow only one account is used,Performance Issues
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,POSITIVE,0.9975135326385498,always cbe is the leading commercial bank,Other
i like it,5,2025-04-18,CBE,Google Play,POSITIVE,0.99985933303833,i like it,Other
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,NEGATIVE,0.9981147050857544,why removing screenshot feature why,Feature Requests & Suggestions
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,POSITIVE,0.9994925260543824,nice apps where network is good in connection,Connectivity Issues
Thank you!!!,5,2025-04-18,CBE,Google Play,POSITIVE,0.9998666048049928,thank you,Other
i can't take screenshot,1,2025-04-18,CBE,Google Play,NEGATIVE,0.9897894263267516,i cant take screenshot,Other
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,NEGATIVE,0.9861215949058532,every update was made the system better and better until the march th update not allowing us to screenshot you guys didnt understand how much its a really quick and significant thing you add extra steps to us which makes the process draw back,"User Interface & Experience, Feature Requests & Suggestions"
perfectly special,5,2025-04-18,CBE,Google Play,POSITIVE,0.999879002571106,perfectly special,Other
Fast and Reliable,5,2025-04-18,CBE,Google Play,POSITIVE,0.9998595714569092,fast and reliable,Other
